sample_num,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
0,3.0,-6389.0,-3764.0,-6389.0,-3506.0,-6311.0,-3032.0,284.0,-3395.0,-3815.0,-4271.0,-4132.0,-4043.0,-6054.0,-3213.0,-6389.0
1,3.0,-6389.0,-3673.0,-6389.0,-3422.0,-6314.0,-3045.0,203.0,-3430.0,-3827.0,-4252.0,-4091.0,-4023.0,-6160.0,-3260.0,-6389.0
2,4.0,-6389.0,-3690.0,-6389.0,-3410.0,-6389.0,-2961.0,-393.0,-3288.0,-3670.0,-4061.0,-3934.0,-3894.0,-6112.0,-3123.0,-6389.0
3,0.0,-6389.0,-3592.0,-6389.0,-3324.0,-6382.0,-2873.0,-1233.0,-3206.0,-3604.0,-4045.0,-3960.0,-3889.0,-6092.0,-3071.0,-5086.0
4,0.0,-6389.0,-3290.0,-6389.0,-2943.0,-5975.0,-2664.0,-1746.0,-2959.0,-3376.0,-3747.0,-3635.0,-3605.0,-5936.0,-2809.0,-2077.0
5,0.0,-6389.0,-3252.0,-5910.0,-3113.0,-6374.0,-2754.0,-1393.0,-3073.0,-3486.0,-3870.0,-3735.0,-3657.0,-6088.0,-2894.0,-847.0
6,0.0,-5610.0,-3337.0,-4569.0,-3079.0,-6295.0,-2627.0,-511.0,-2914.0,-3288.0,-3632.0,-3493.0,-3445.0,-5931.0,-2641.0,-367.0
7,2.0,-3841.0,-3062.0,-2463.0,-2835.0,-6128.0,-2402.0,163.0,-2413.0,-2784.0,-2983.0,-2770.0,-2627.0,-5365.0,-1787.0,821.0
8,2.0,-519.0,-2449.0,40.0,-2373.0,-5745.0,-1981.0,95.0,-1329.0,-1685.0,-1485.0,-1148.0,-101.0,-3218.0,605.0,2749.0
9,2.0,1896.0,-1352.0,1203.0,-1590.0,-5054.0,-1353.0,-615.0,234.0,9.0,675.0,1162.0,3612.0,442.0,4130.0,2746.0
10,2.0,2949.0,7.0,2410.0,-618.0,-3982.0,-418.0,-1432.0,1902.0,1913.0,2960.0,3655.0,6389.0,4565.0,6389.0,2744.0
11,4.0,3001.0,1874.0,2840.0,952.0,-1902.0,1417.0,-1629.0,4227.0,4595.0,5819.0,6389.0,6389.0,5696.0,6389.0,2741.0
12,1.0,2998.0,4605.0,2838.0,3398.0,1168.0,4505.0,-1077.0,6389.0,6389.0,6389.0,6389.0,6389.0,5691.0,6389.0,2738.0
13,2.0,2995.0,6389.0,2835.0,6389.0,4802.0,6389.0,-180.0,6389.0,6389.0,6389.0,6389.0,6389.0,5685.0,6389.0,2736.0
14,0.0,2992.0,6389.0,2832.0,6389.0,5098.0,6389.0,333.0,6389.0,6389.0,6389.0,6389.0,6389.0,5680.0,6389.0,2733.0
15,0.0,2989.0,6389.0,2829.0,6389.0,5093.0,6389.0,7.0,6389.0,6389.0,6389.0,6389.0,6389.0,5674.0,6389.0,2730.0
16,0.0,2986.0,6389.0,2826.0,6389.0,5088.0,6389.0,-854.0,6389.0,6389.0,6389.0,6389.0,6389.0,5669.0,6389.0,2728.0
17,-2.0,2983.0,6389.0,2824.0,6389.0,5083.0,6389.0,-1519.0,6389.0,6389.0,6389.0,6389.0,6389.0,5663.0,6389.0,2725.0
18,0.0,2980.0,6389.0,2821.0,6389.0,5078.0,6389.0,-1513.0,6389.0,6389.0,6389.0,6389.0,6389.0,5658.0,6389.0,2722.0
19,0.0,2978.0,6389.0,2818.0,6389.0,5073.0,6389.0,-773.0,6389.0,6389.0,6389.0,6389.0,6389.0,5652.0,6389.0,2720.0
20,-3.0,2975.0,6389.0,2815.0,6389.0,5068.0,6389.0,63.0,6389.0,6389.0,6389.0,6389.0,6389.0,5647.0,6389.0,2717.0
