sample_num,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
0,5.0,4660.0,6337.0,4486.0,6281.0,5470.0,6375.0,-423.0,6259.0,6176.0,5900.0,6283.0,6389.0,5592.0,6389.0,4193.0
1,5.0,4656.0,6331.0,4481.0,6275.0,5465.0,6369.0,-12.0,6253.0,6170.0,5894.0,6277.0,6389.0,5586.0,6389.0,4188.0
2,11.0,4651.0,6325.0,4477.0,6269.0,5460.0,6363.0,319.0,6247.0,6164.0,5888.0,6271.0,6389.0,5581.0,6036.0,4184.0
3,10.0,4646.0,6318.0,4472.0,6263.0,5454.0,6357.0,-244.0,6241.0,6158.0,5882.0,6265.0,6088.0,5576.0,4776.0,4180.0
4,8.0,4642.0,6312.0,4468.0,6256.0,5449.0,6350.0,-1028.0,6235.0,6152.0,5877.0,6259.0,4433.0,5570.0,3307.0,4176.0
5,10.0,4637.0,6306.0,4464.0,6250.0,5444.0,6230.0,-1637.0,6037.0,5775.0,5871.0,5061.0,826.0,5565.0,-9.0,4172.0
6,13.0,4633.0,5422.0,4459.0,5342.0,5438.0,4181.0,-1404.0,4333.0,4110.0,5865.0,2801.0,369.0,5559.0,-291.0,4168.0
7,5.0,4628.0,3803.0,4455.0,3608.0,5433.0,2082.0,-629.0,2249.0,1941.0,5607.0,713.0,161.0,5554.0,-568.0,4164.0
8,10.0,4624.0,1793.0,4451.0,1672.0,5428.0,113.0,218.0,415.0,53.0,4390.0,616.0,-174.0,5548.0,-1013.0,4160.0
9,9.0,4619.0,-162.0,4446.0,756.0,5422.0,-364.0,297.0,-337.0,-651.0,1720.0,-328.0,-1373.0,5543.0,-2793.0,3335.0
10,7.0,4344.0,-1011.0,4296.0,97.0,5417.0,-1240.0,-424.0,-1549.0,-1722.0,-1955.0,-1628.0,-3903.0,3807.0,-5529.0,288.0
11,4.0,2495.0,-1779.0,2869.0,-759.0,5412.0,-2443.0,-1255.0,-2950.0,-3044.0,-3815.0,-3283.0,-4276.0,-19.0,-4964.0,-3655.0
12,-24.0,-27.0,-2559.0,1010.0,-1678.0,3805.0,-3554.0,-2480.0,-4119.0,-4002.0,-4264.0,-4316.0,-4598.0,-4041.0,-5550.0,-6389.0
13,-50.0,-2663.0,-3389.0,-1215.0,-2892.0,1543.0,-4072.0,-1719.0,-4915.0,-4651.0,-4755.0,-5219.0,-5143.0,-5917.0,-5738.0,-6389.0
14,-1.0,-5707.0,-4485.0,-4206.0,-4778.0,-1409.0,-4732.0,-255.0,-5542.0,-5029.0,-5010.0,-5788.0,-5552.0,-5575.0,-5147.0,-6389.0
15,6.0,-6389.0,-5671.0,-6389.0,-5838.0,-5068.0,-5752.0,366.0,-5870.0,-5699.0,-5461.0,-5986.0,-5950.0,-5745.0,-4826.0,-6389.0
16,8.0,-6389.0,-5872.0,-6389.0,-5910.0,-6012.0,-5864.0,274.0,-5918.0,-5887.0,-5748.0,-4968.0,-4575.0,-5796.0,-4681.0,-6389.0
17,10.0,-6389.0,-5573.0,-6389.0,-4917.0,-5843.0,-5013.0,-474.0,-4942.0,-5899.0,-5940.0,-4815.0,-4636.0,-5854.0,-4583.0,-6389.0
18,10.0,-6389.0,-4907.0,-6389.0,-4875.0,-5869.0,-4833.0,-1273.0,-4929.0,-4968.0,-6361.0,-4759.0,-4560.0,-5942.0,-4524.0,-6389.0
19,8.0,-6389.0,-4873.0,-6389.0,-4765.0,-5901.0,-4728.0,-1466.0,-4805.0,-4938.0,-6389.0,-4679.0,-4482.0,-5981.0,-4431.0,-6389.0
20,10.0,-6389.0,-4775.0,-6389.0,-4749.0,-5958.0,-4675.0,-906.0,-4689.0,-4711.0,-5674.0,-4467.0,-4329.0,-5900.0,-4245.0,-6389.0
