sample_num,ch0,ch7,ch10,ch11,ch12,ch13,ch14,ch15
0,-7.0,385.0,-6336.0,-5662.0,-6189.0,-6389.0,-5086.0,-6389.0
1,-1.0,-538.0,-6361.0,-5591.0,-6095.0,-6389.0,-4994.0,-6389.0
2,-3.0,-818.0,-6284.0,-5544.0,-6047.0,-6389.0,-4952.0,-6389.0
3,-3.0,-1313.0,-6249.0,-5499.0,-5977.0,-6389.0,-4897.0,-6389.0
4,0.0,-1741.0,-6158.0,-5428.0,-5917.0,-6389.0,-4846.0,-6389.0
5,0.0,-2045.0,-6139.0,-5407.0,-5869.0,-6389.0,-4812.0,-6389.0
6,0.0,-2184.0,-6088.0,-5371.0,-5835.0,-6389.0,-4786.0,-6389.0
7,0.0,-2156.0,-6025.0,-5304.0,-5775.0,-6389.0,-4712.0,-6389.0
8,2.0,-1923.0,-5982.0,-5265.0,-5717.0,-6389.0,-4642.0,-6389.0
9,2.0,-1454.0,-5924.0,-5216.0,-5662.0,-6389.0,-4601.0,-6389.0
10,0.0,-1051.0,-5866.0,-5158.0,-5601.0,-6389.0,-4546.0,-6045.0
11,5.0,-635.0,-5837.0,-5121.0,-5563.0,-6389.0,-4510.0,-5033.0
12,7.0,-356.0,-5792.0,-5072.0,-5520.0,-6389.0,-4461.0,-3804.0
13,7.0,-332.0,-5741.0,-5032.0,-5477.0,-6389.0,-4420.0,-2321.0
14,5.0,-434.0,-5694.0,-4988.0,-5428.0,-5310.0,-4377.0,-723.0
15,9.0,-710.0,-5652.0,-4943.0,-5368.0,-3684.0,-4334.0,-329.0
16,7.0,-1153.0,-5609.0,-4905.0,-5325.0,-2188.0,-4290.0,-95.0
17,6.0,-1635.0,-5565.0,-4851.0,-5269.0,-1491.0,-4239.0,91.0
18,11.0,-2035.0,-5495.0,-4788.0,-5202.0,-1249.0,-4173.0,311.0
19,11.0,-2151.0,-5418.0,-4711.0,-5133.0,-965.0,-4100.0,511.0
20,8.0,-2206.0,-5342.0,-4628.0,-5042.0,-725.0,-4023.0,718.0
21,9.0,-1961.0,-5287.0,-4567.0,-4971.0,-556.0,-3937.0,913.0
22,11.0,-1581.0,-5204.0,-4502.0,-4890.0,-379.0,-3866.0,1081.0
23,11.0,-1165.0,-5157.0,-4446.0,-4809.0,-235.0,-3788.0,1223.0
24,11.0,-720.0,-5099.0,-4382.0,-4721.0,-43.0,-3714.0,1397.0
25,11.0,-363.0,-5025.0,-4310.0,-4588.0,180.0,-3631.0,1596.0
26,7.0,-205.0,-4924.0,-4202.0,-4364.0,542.0,-3482.0,1934.0
27,7.0,-319.0,-4819.0,-4083.0,-4007.0,1018.0,-3291.0,2360.0
28,8.0,-490.0,-4643.0,-3878.0,-2792.0,2003.0,-2880.0,3196.0
29,15.0,-929.0,-4406.0,-3578.0,-106.0,3785.0,-1842.0,3757.0
30,11.0,-1365.0,-3865.0,-2789.0,3639.0,5038.0,938.0,3754.0
31,11.0,-1759.0,-2462.0,-807.0,5446.0,5033.0,4792.0,3750.0
32,11.0,-2081.0,301.0,2385.0,5440.0,5028.0,6389.0,3746.0
33,8.0,-2126.0,3905.0,5779.0,5435.0,5023.0,6389.0,3743.0
34,7.0,-2011.0,5142.0,5773.0,5430.0,5018.0,6389.0,3739.0
35,9.0,-1693.0,5137.0,5767.0,5424.0,5014.0,6389.0,3736.0
36,11.0,-1256.0,5132.0,5762.0,5419.0,5009.0,6389.0,3732.0
37,7.0,-816.0,5127.0,5756.0,5414.0,5004.0,6389.0,3728.0
38,7.0,-389.0,5122.0,5750.0,5409.0,4999.0,6389.0,3724.0
39,5.0,-197.0,5117.0,5745.0,5403.0,4994.0,6384.0,3721.0
40,7.0,-169.0,5112.0,5739.0,5398.0,4989.0,6378.0,3717.0
41,7.0,-358.0,5107.0,5734.0,5393.0,4984.0,6372.0,3714.0
42,1.0,-700.0,5102.0,5728.0,5387.0,4979.0,6365.0,3710.0
43,5.0,-1138.0,5097.0,5722.0,5382.0,4975.0,6359.0,3706.0
44,0.0,-1598.0,5092.0,5717.0,5377.0,4970.0,6353.0,3703.0
45,-1.0,-1912.0,5087.0,5711.0,5372.0,4965.0,6347.0,3699.0
46,-1.0,-2063.0,5082.0,5706.0,5366.0,4960.0,6341.0,3696.0
47,-1.0,-2109.0,5077.0,5700.0,5361.0,4955.0,6334.0,3692.0
48,0.0,-1822.0,5072.0,5694.0,5356.0,4950.0,5926.0,3688.0
49,0.0,-1522.0,5067.0,5374.0,3878.0,4945.0,4234.0,3685.0
50,-5.0,-1016.0,3998.0,3999.0,2310.0,4574.0,3570.0,3681.0
51,-4.0,-591.0,2101.0,1778.0,625.0,3195.0,1601.0,3677.0
52,-7.0,-284.0,1033.0,796.0,53.0,2439.0,756.0,3674.0
53,-7.0,-201.0,376.0,612.0,-108.0,1376.0,614.0,3670.0
54,-7.0,-324.0,-589.0,378.0,-430.0,237.0,29.0,3667.0
55,-7.0,-631.0,-644.0,272.0,-458.0,443.0,62.0,3663.0
56,-5.0,-1039.0,-762.0,188.0,-618.0,-59.0,-125.0,3659.0
57,-7.0,-1492.0,-949.0,31.0,-673.0,20.0,-85.0,3656.0
58,-12.0,-1853.0,-1073.0,-132.0,-927.0,-414.0,-447.0,3652.0
59,-7.0,-2098.0,-1350.0,-335.0,-1014.0,-376.0,-412.0,3649.0
60,-8.0,-2080.0,-1489.0,-492.0,-1248.0,-756.0,-760.0,3645.0
61,-5.0,-1884.0,-1568.0,-554.0,-1305.0,-687.0,-742.0,3642.0
62,-8.0,-1563.0,-1670.0,-672.0,-1520.0,-1087.0,-1133.0,3638.0
63,-11.0,-1159.0,-1793.0,-782.0,-1543.0,-922.0,-968.0,3634.0
64,-10.0,-674.0,-1873.0,-856.0,-1652.0,-1098.0,-1179.0,3631.0
