sample_num,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,-62.0,-1125.0,-1221.0,-1864.0,-1197.0,-1039.0,-1064.0,-1274.0,-1193.0,-1390.0,-779.0,-732.0,-572.0,-493.0,-516.0,-359.0
1,-390.0,-26.0,-20.0,-601.0,-358.0,80.0,-37.0,-257.0,-180.0,-705.0,-418.0,-231.0,-401.0,-487.0,-403.0,-418.0
2,-632.0,-363.0,-437.0,-1137.0,-804.0,-518.0,-606.0,-813.0,-728.0,-1068.0,-587.0,-468.0,-460.0,-441.0,-384.0,-291.0
3,-841.0,34.0,53.0,-547.0,-300.0,213.0,87.0,-148.0,73.0,-532.0,-274.0,49.0,-193.0,-304.0,-178.0,-145.0
4,-892.0,64.0,119.0,-449.0,-244.0,282.0,192.0,2.0,325.0,-373.0,-120.0,390.0,-7.0,-161.0,63.0,119.0
5,-890.0,81.0,103.0,-608.0,-618.0,-250.0,-479.0,-713.0,-434.0,-1211.0,-969.0,-781.0,-964.0,-952.0,-959.0,-919.0
6,-873.0,-456.0,-358.0,-841.0,-299.0,248.0,409.0,143.0,424.0,55.0,491.0,1025.0,719.0,524.0,900.0,1092.0
7,-669.0,877.0,1209.0,863.0,374.0,1312.0,978.0,933.0,2290.0,616.0,398.0,2053.0,548.0,313.0,837.0,887.0
8,-436.0,737.0,1013.0,624.0,270.0,1164.0,941.0,840.0,2019.0,537.0,410.0,1825.0,563.0,351.0,826.0,873.0
9,-215.0,734.0,1018.0,632.0,299.0,1187.0,937.0,817.0,2009.0,520.0,418.0,1778.0,536.0,320.0,781.0,834.0
10,40.0,685.0,945.0,532.0,256.0,1100.0,879.0,741.0,1848.0,399.0,333.0,1529.0,436.0,218.0,616.0,672.0
11,319.0,613.0,836.0,344.0,149.0,969.0,803.0,655.0,1623.0,235.0,272.0,1336.0,412.0,185.0,534.0,615.0
12,594.0,552.0,748.0,244.0,109.0,856.0,685.0,529.0,1381.0,72.0,173.0,1057.0,248.0,88.0,374.0,414.0
13,854.0,431.0,572.0,4.0,-18.0,643.0,499.0,284.0,916.0,-195.0,-10.0,575.0,35.0,-111.0,79.0,96.0
14,1059.0,231.0,260.0,-321.0,-217.0,368.0,265.0,49.0,389.0,-451.0,-185.0,58.0,-139.0,-265.0,-193.0,-150.0
